experiment_id,hidden_sizes,learning_rate,batch_size,activation,init_scale,num_layers,total_neurons,avg_neurons,final_train_loss,final_val_loss,final_train_acc,final_val_acc,overfitting_gap
111,"[15, 15]",0.01,4,relu,0.5,2,30,15.0,0.09187467668953825,0.13037735546341991,0.975609756097561,0.975609756097561,0.0
112,"[15, 15]",0.01,4,sigmoid,0.05,2,30,15.0,0.6941285684109955,0.6941331377811235,0.5,0.5,0.0
113,"[15, 15]",0.01,4,sigmoid,0.1,2,30,15.0,0.6941259423393268,0.6941816526671696,0.5,0.5,0.0
114,"[15, 15]",0.01,4,sigmoid,0.5,2,30,15.0,0.26950698966622133,0.23853599456504843,0.9292682926829269,0.9390243902439024,-0.009756097560975507
115,"[15, 15]",0.01,8,relu,0.05,2,30,15.0,0.12656363779252888,0.1346320181155216,0.975609756097561,0.975609756097561,0.0
116,"[15, 15]",0.01,8,relu,0.1,2,30,15.0,0.11430879782413161,0.13308860755020233,0.975609756097561,0.975609756097561,0.0
117,"[15, 15]",0.01,8,relu,0.5,2,30,15.0,0.0994442878003112,0.13045623829495995,0.975609756097561,0.975609756097561,0.0
118,"[15, 15]",0.01,8,sigmoid,0.05,2,30,15.0,0.6931434584027176,0.6931472138615032,0.5,0.5,0.0
119,"[15, 15]",0.01,8,sigmoid,0.1,2,30,15.0,0.6931112260297745,0.6931495999462061,0.4609756097560976,0.4146341463414634,0.04634146341463419
120,"[15, 15]",0.01,8,sigmoid,0.5,2,30,15.0,0.5422118777757889,0.5283555245777822,0.8560975609756097,0.8780487804878049,-0.02195121951219514
121,"[15, 15]",0.01,16,relu,0.05,2,30,15.0,0.2685881114152077,0.2934968557214953,0.9634146341463414,0.9390243902439024,0.024390243902439046
122,"[15, 15]",0.01,16,relu,0.1,2,30,15.0,0.13749797405224698,0.15047320383396345,0.975609756097561,0.975609756097561,0.0
123,"[15, 15]",0.01,16,relu,0.5,2,30,15.0,0.107307549144424,0.13387330316345333,0.975609756097561,0.975609756097561,0.0
